,date,open,close,high,low,volume,code
3487,2019/8/8,3651.36,3669.29,3675.46,3646.94,88457707,hs300
3488,2019/8/9,3686.75,3633.53,3689.18,3628.12,85295580,hs300
3489,2019/8/12,3647.87,3699.1,3699.1,3643.32,82083056,hs300
3490,2019/8/13,3675.59,3665.75,3686.43,3658.01,76500302,hs300
3491,2019/8/14,3712.07,3682.4,3717.56,3680.61,91202590,hs300
3492,2019/8/15,3618.01,3694,3694.3,3612.11,88598832,hs300
3493,2019/8/16,3697.94,3710.54,3738.1,3687.08,88319169,hs300
3494,2019/8/19,3736.03,3791.09,3791.09,3720.69,139327013,hs300
3495,2019/8/20,3786.03,3787.73,3799.9,3778.73,108602088,hs300
3496,2019/8/21,3778.31,3781.76,3792.6,3775.45,82299880,hs300
3497,2019/8/22,3793.86,3793.51,3797.33,3771.2,85807792,hs300
3498,2019/8/23,3796.88,3820.86,3829.36,3788.03,87954583,hs300
3499,2019/8/26,3756.36,3765.91,3778.87,3753.16,93859269,hs300
3500,2019/8/27,3791.46,3816.95,3848.24,3790.87,124731478,hs300
3501,2019/8/28,3818.81,3802.58,3822.59,3790.14,88750812,hs300
3502,2019/8/29,3805.49,3790.19,3808.6,3774.4,84083387,hs300
3503,2019/8/30,3816.68,3799.59,3828.97,3778.92,96695150,hs300
3504,2019/9/2,3803.69,3848.32,3855.78,3799.82,110289349,hs300
3505,2019/9/3,3852.58,3853.61,3856.68,3833.76,97714631,hs300
3506,2019/9/4,3848.65,3886,3886,3846.42,126628615,hs300
3507,2019/9/5,3909.21,3925.32,3970,3909.21,181656231,hs300
3508,2019/9/6,3946.69,3948.51,3948.54,3922.34,121882376,hs300
3509,2019/9/9,3980.96,3972.95,3985.24,3954.88,146809754,hs300
3510,2019/9/10,3976.87,3959.26,3976.92,3938.74,130889386,hs300
3511,2019/9/11,3969.68,3930.1,3971.22,3922.95,131594875,hs300
