date,high,low,open,close,volume,code
2022.09.28,13.01,12.3,12.74,12.48,11362735,002317.SZ
2022.09.29,13.33,12.59,12.67,12.69,15358086,002317.SZ
2022.09.30,13.44,12.53,12.71,13.14,13804199,002317.SZ
2022.10.10,13.55,13.01,13.19,13.38,13790622,002317.SZ
2022.10.11,14.6,12.55,13.34,14.32,26675472,002317.SZ
2022.10.12,14.92,14.09,14.28,14.68,24905001,002317.SZ
2022.10.13,15.19,14.21,14.38,15.05,19871419,002317.SZ
2022.10.14,15.87,14.91,14.91,15.13,26352918,002317.SZ
2022.10.17,15.68,14.9,15.01,15.42,19647376,002317.SZ
2022.10.18,16.64,15.03,15.28,16.5,32568931,002317.SZ
2022.10.19,16.87,16.15,16.31,16.6,23081611,002317.SZ
2022.10.20,18.26,16.32,16.5,17.9,33477682,002317.SZ
2022.10.21,19.69,17.66,17.7,19.69,43728295,002317.SZ
2022.10.24,20.09,18.6,19.85,19.02,37349780,002317.SZ
2022.10.25,18.88,17.77,18.68,18.19,32352696,002317.SZ
2022.10.26,19.2,18.06,18.12,19.06,29433147,002317.SZ
2022.10.27,20.8,18.5,18.98,19.78,37446073,002317.SZ
2022.10.28,20.02,19.13,19.59,19.38,19699773,002317.SZ
2022.10.31,21.32,19.0,19.25,21.32,30122986,002317.SZ
2022.11.01,23.45,20.27,21.08,22.94,34879841,002317.SZ
2022.11.02,25.23,22.03,22.3,23.1,61861134,002317.SZ
2022.11.03,25.41,22.04,22.29,22.4,86974183,002317.SZ
2022.11.04,24.64,21.72,22.72,24.64,47525088,002317.SZ
2022.11.07,27.1,25.88,27.0,27.1,58726481,002317.SZ
2022.11.08,29.81,26.99,28.0,29.25,103640781,002317.SZ
2022.11.09,32.18,28.99,29.25,32.18,88981743,002317.SZ
2022.11.10,35.4,33.33,33.78,35.4,76037639,002317.SZ
2022.11.11,38.94,31.86,38.94,31.86,140159061,002317.SZ
2022.11.14,35.05,31.0,31.2,35.05,147538609,002317.SZ
2022.11.15,38.3,34.0,36.09,37.98,154020867,002317.SZ
2022.11.16,37.08,34.18,36.8,34.38,132102647,002317.SZ
2022.11.17,37.82,33.24,33.3,37.82,96559073,002317.SZ
2022.11.18,40.99,38.0,40.49,39.58,149221750,002317.SZ
2022.11.21,39.79,36.5,39.01,38.1,115672103,002317.SZ
2022.11.22,41.3,37.9,38.68,39.57,143451237,002317.SZ
2022.11.23,38.98,35.61,38.8,35.9,106690121,002317.SZ
2022.11.24,38.1,34.3,36.48,37.41,135794716,002317.SZ
2022.11.25,36.64,33.67,35.8,36.5,113077828,002317.SZ
2022.11.28,37.5,35.18,36.9,36.47,87415077,002317.SZ
2022.11.29,40.12,35.16,35.18,37.89,148285693,002317.SZ
2022.11.30,39.01,36.33,37.89,37.66,98868763,002317.SZ
